Disease Pair,Comorbidity
muscular dystrophies&peripheral nervous system diseases,43.519597
muscular dystrophies&uveal diseases,43.17144
"anemia, aplastic&leukemia, myeloid, acute",42.767705
"cardiomyopathies&cardiomyopathy, hypertrophic",41.666667
"autoimmune diseases&lupus erythematosus, systemic",41.508728
dyssomnias&muscular dystrophies,39.973556
leprosy&spinal cord diseases,39.578846
immunologic deficiency syndromes&mycobacterium infections,39.033881
motor neuron disease&polyneuropathies,38.282487
amyotrophic lateral sclerosis&polyneuropathies,38.282487
leukemia&myeloproliferative disorders,37.650723
muscular dystrophies&spinocerebellar degenerations,36.8357
dyskinesias&movement disorders,36.266693
blood platelet disorders&leukemia,36.104913
craniofacial abnormalities&spinal cord diseases,36.003678
dyssomnias&respiratory tract diseases,35.85119
"amino acid metabolism, inborn errors&leukemia, lymphocytic, chronic, b-cell",35.810925
hair diseases&ovarian diseases,34.841641
behcet syndrome&crohn disease,34.397062
"amino acid metabolism, inborn errors&leukemia, b-cell",34.356386
autoimmune diseases&vasculitis,33.108149
immunologic deficiency syndromes&polyneuropathies,32.989481
behcet syndrome&hair diseases,32.700947
"immunologic deficiency syndromes&leukemia, lymphocytic, chronic, b-cell",32.629624
"immunologic deficiency syndromes&leukemia, b-cell",31.725689
muscular diseases&polyneuropathies,31.717198
ectodermal dysplasia&macular degeneration,31.452247
"anemia, aplastic&leukemia",30.388657
muscular diseases&vasculitis,30.329691
demyelinating diseases&muscular dystrophies,30.081172
multiple sclerosis&muscular dystrophies,30.081172
"arterial occlusive diseases&death, sudden",29.09969
"hypotrichosis&neoplasms, germ cell and embryonal",29.056765
hypotrichosis&ovarian neoplasms,29.056765
leprosy&mycobacterium infections,28.481415
immunologic deficiency syndromes&precursor cell lymphoblastic leukemia-lymphoma,28.209077
sleep disorders&vascular diseases,27.866737
"blood platelet disorders&leukemia, myeloid, acute",27.544542
"leukemia, myeloid, acute&precursor cell lymphoblastic leukemia-lymphoma",26.754822
"leukemia, lymphocytic, chronic, b-cell&leukemia, myeloid, acute",26.754822
behcet syndrome&vasculitis,26.449527
"death, sudden&mycobacterium infections",26.274622
"metabolism, inborn errors&peripheral nervous system diseases",25.758897
immunologic deficiency syndromes&leukemia,25.076464
"hereditary sensory and motor neuropathy&spastic paraplegia, hereditary",24.796762
"charcot-marie-tooth disease&spastic paraplegia, hereditary",24.796762
"amino acid metabolism, inborn errors&polyneuropathies",24.424842
immunologic deficiency syndromes&lymphoma,23.875652
"amino acid metabolism, inborn errors&precursor cell lymphoblastic leukemia-lymphoma",23.869158
"hemorrhagic disorders&leukemia, myeloid, acute",23.70314
"intestinal neoplasms&neoplasms, connective and soft tissue",23.423186
aneurysm&ectodermal dysplasia,23.27926
hypopigmentation&hypotrichosis,22.796139
muscular diseases&mycobacterium infections,22.744538
colorectal neoplasms&intestinal neoplasms,22.651517
"liver cirrhosis&metabolism, inborn errors",22.603806
"liver cirrhosis, biliary&metabolism, inborn errors",22.603806
intellectual disability&spinocerebellar degenerations,22.234328
crohn disease&lysosomal storage diseases,22.22
charcot-marie-tooth disease&spinocerebellar degenerations,22.173214
hereditary sensory and motor neuropathy&spinocerebellar degenerations,22.173214
breast diseases&breast neoplasms,21.868161
behcet syndrome&cerebellar ataxia,21.828708
"demyelinating diseases&spastic paraplegia, hereditary",21.27585
"multiple sclerosis&spastic paraplegia, hereditary",21.27585
dyskinesias&intellectual disability,21.258304
blood platelet disorders&myeloproliferative disorders,20.773933
amyotrophic lateral sclerosis&muscular dystrophies,20.713675
motor neuron disease&muscular dystrophies,20.713675
ovarian diseases&polyneuropathies,20.702203
"pancreatic diseases&purine-pyrimidine metabolism, inborn errors",20.594978
cranial nerve diseases&demyelinating diseases,20.475989
cranial nerve diseases&multiple sclerosis,20.475989
lymphoma&precursor cell lymphoblastic leukemia-lymphoma,20.450784
hair diseases&hypopigmentation,20.38052
"genital diseases, female&ovarian neoplasms",20.306566
breast diseases&neuroendocrine tumors,20.283121
exophthalmos&graves disease,20.161514
"metabolism, inborn errors&vascular diseases",20.088699
"anemia, aplastic&lymphoma",19.629895
macular degeneration&uveal diseases,19.374584
"carbohydrate metabolism, inborn errors&neuroendocrine tumors",18.865405
adrenal gland diseases&lipidoses,18.763405
alzheimer disease&neuroendocrine tumors,18.566554
"respiratory tract diseases&spastic paraplegia, hereditary",18.472941
lipid metabolism disorders&lipidoses,18.41245
"anemia, aplastic&immunologic deficiency syndromes",18.219539
"abnormalities, multiple&bone diseases, metabolic",18.059569
blood platelet disorders&vascular diseases,17.643722
"hypotrichosis&neoplasms, connective and soft tissue",17.642612
"death, sudden&hemorrhagic disorders",17.535932
blood platelet disorders&precursor cell lymphoblastic leukemia-lymphoma,17.406526
hypotrichosis&lymphoma,17.387802
muscular dystrophies&polyneuropathies,17.131524
"amino acid metabolism, inborn errors&mycobacterium infections",17.125933
cholestasis&pancreatic diseases,17.090401
"head and neck neoplasms&neoplasms, connective and soft tissue",16.90996
breast diseases&lymphatic diseases,16.908781
immunologic deficiency syndromes&vasculitis,16.670063
dementia&neuroendocrine tumors,16.558341
cerebellar ataxia&polyneuropathies,16.354207
polyneuropathies&spinocerebellar ataxias,16.336404
immunologic deficiency syndromes&muscular diseases,16.335705
leukemia&lymphatic diseases,16.130007
hypopigmentation&sleep disorders,15.601448
peripheral nervous system diseases&spinocerebellar ataxias,15.562401
"colorectal neoplasms&purine-pyrimidine metabolism, inborn errors",15.552304
"genital diseases, female&ovarian diseases",15.500065
adenocarcinoma&dyssomnias,15.479231
leukemia&lymphoma,15.476673
lymphoma&stomatognathic diseases,15.476673
liver cirrhosis&varicose veins,15.370348
"liver cirrhosis, biliary&varicose veins",15.370348
"amino acid metabolism, inborn errors&muscular diseases",15.31992
"amino acid metabolism, inborn errors&leukemia",15.265526
aneurysm&disorders of sex development,15.06305
"dwarfism&neoplasms, connective and soft tissue",15.06223
autoimmune diseases&stomatognathic diseases,15.052533
neuroendocrine tumors&vasculitis,14.933226
"ankylosis&spondylitis, ankylosing",14.865213
"blood coagulation disorders&purine-pyrimidine metabolism, inborn errors",14.856028
"blood coagulation disorders, inherited&purine-pyrimidine metabolism, inborn errors",14.856028
cholestasis&intestinal neoplasms,14.72547
"behcet syndrome&lupus erythematosus, systemic",14.326021
coronary disease&neoplasms,14.271991
"hemorrhagic disorders&metabolism, inborn errors",14.235557
"spinal cord diseases&spondylitis, ankylosing",14.223416
"abnormalities, multiple&vasculitis",14.186564
"lupus erythematosus, systemic&vasculitis",14.149361
"death, sudden&stomatognathic diseases",13.977352
hair diseases&precursor cell lymphoblastic leukemia-lymphoma,13.966382
bile duct diseases&pancreatic diseases,13.744937
myocardial infarction&myocardial ischemia,13.744556
coronary artery disease&myocardial ischemia,13.744338
polyneuropathies&spinal cord diseases,13.677588
"anemia, aplastic&hypotrichosis",13.650777
movement disorders&sleep disorders,13.649014
demyelinating diseases&spinocerebellar degenerations,13.589158
multiple sclerosis&spinocerebellar degenerations,13.589158
"leukemia, lymphocytic, chronic, b-cell&lymphoma",13.582556
immune system diseases&nervous system diseases,13.41593
immunologic deficiency syndromes&nervous system diseases,13.414398
"amino acid metabolism, inborn errors&anemia, aplastic",13.342488
hemorrhagic disorders&myeloproliferative disorders,13.327293
immune system diseases&polyneuropathies,13.325161
"amino acid metabolism, inborn errors&lymphoma",13.291472
hemorrhagic disorders&immunologic deficiency syndromes,13.025791
"lupus erythematosus, systemic&muscular diseases",12.991809
"anemia, aplastic&neoplasms, germ cell and embryonal",12.969008
"anemia, aplastic&ovarian neoplasms",12.969008
lipidoses&retinitis pigmentosa,12.892502
hypersensitivity&peripheral nervous system diseases,12.866803
"abnormalities, multiple&aneurysm",12.803593
"neoplasms&neoplasms, connective and soft tissue",12.761659
"myeloproliferative disorders&purine-pyrimidine metabolism, inborn errors",12.531425
macular degeneration&uveitis,12.50851
autoimmune diseases&muscular diseases,12.433878
"intellectual disability&spastic paraplegia, hereditary",12.432553
"arthritis, rheumatoid&craniofacial abnormalities",12.42874
head and neck neoplasms&hypotrichosis,12.361057
immunologic deficiency syndromes&lipidoses,12.35145
"amino acid metabolism, inborn errors&lupus erythematosus, systemic",12.283619
goiter&hyperthyroidism,12.188209
goiter&graves disease,12.177396
"immunologic deficiency syndromes&lupus erythematosus, systemic",12.161658
endocrine system diseases&graves disease,12.151737
graves disease&thyroid diseases,12.151737
precursor cell lymphoblastic leukemia-lymphoma&stomatognathic diseases,11.93929
"amino acid metabolism, inborn errors&vasculitis",11.922423
"abnormalities, multiple&rheumatic diseases",11.887236
"arthritis, rheumatoid&immunologic deficiency syndromes",11.875426
blood platelet disorders&polyneuropathies,11.874505
celiac disease&intestinal neoplasms,11.820098
intestinal neoplasms&malabsorption syndromes,11.820098
coronary disease&head and neck neoplasms,11.819525
hemorrhagic disorders&leukemia,11.651126
hemorrhagic disorders&lipidoses,11.477559
"metabolism, inborn errors&stomatognathic diseases",11.346725
cranial nerve diseases&spinocerebellar degenerations,11.340507
"anemia, aplastic&blood platelet disorders",11.251626
autoimmune diseases&hypopigmentation,11.190021
arthritis&behcet syndrome,11.054852
autoimmune diseases&blood platelet disorders,10.972693
alzheimer disease&dementia,10.949978
behcet syndrome&spinocerebellar ataxias,10.902473
"anemia, aplastic&autoimmune diseases",10.876669
"amino acid metabolism, inborn errors&behcet syndrome",10.866985
"anemia, aplastic&leukemia, b-cell",10.864006
hypotrichosis&muscular diseases,10.85576
ectodermal dysplasia&rheumatic diseases,10.806578
movement disorders&parkinsonian disorders,10.774359
craniofacial abnormalities&spinocerebellar ataxias,10.750628
craniofacial abnormalities&hair diseases,10.748501
"death, sudden&sleep disorders",10.728356
epilepsy&intellectual disability,10.701304
epilepsy&glioma,10.687058
dyssomnias&spinal cord diseases,10.638124
"immunologic deficiency syndromes&leukemia, myeloid, acute",10.535862
glioma&muscular diseases,10.510508
arthritis&immunologic deficiency syndromes,10.50192
autoimmune diseases&liver cirrhosis,10.438635
"autoimmune diseases&liver cirrhosis, biliary",10.438635
cerebellar ataxia&spinal cord diseases,10.418076
breast diseases&pancreatic diseases,10.418076
leprosy&lymphatic diseases,10.396324
cerebellar ataxia&peripheral nervous system diseases,10.38624
"bone diseases, metabolic&malformations of cortical development",10.319754
dwarfism&dyskinesias,10.306352
coronary disease&muscular dystrophies,10.278914
cerebellar ataxia&hypotrichosis,10.262102
hypotrichosis&spinocerebellar ataxias,10.250931
immunologic deficiency syndromes&leprosy,10.228038
"amino acid metabolism, inborn errors&nervous system diseases",10.207671
arthritis&vasculitis,10.196593
hair diseases&leprosy,10.127852
blood platelet disorders&immunologic deficiency syndromes,10.091193
craniofacial abnormalities&exophthalmos,10.077
motor neuron disease&peripheral nervous system diseases,10.060331
amyotrophic lateral sclerosis&peripheral nervous system diseases,10.060331
adrenal gland diseases&mycobacterium infections,9.882895
spinal cord diseases&spinocerebellar degenerations,9.803049
charcot-marie-tooth disease&ovarian diseases,9.776902
hereditary sensory and motor neuropathy&ovarian diseases,9.776902
"amino acid metabolism, inborn errors&arthritis",9.705513
glioma&vascular diseases,9.654531
charcot-marie-tooth disease&spinocerebellar ataxias,9.643867
hereditary sensory and motor neuropathy&spinocerebellar ataxias,9.643867
arthritis&muscular diseases,9.569595
"amyotrophic lateral sclerosis&spastic paraplegia, hereditary",9.522756
autoimmune diseases&hemorrhagic disorders,9.442425
neoplasms&retinitis pigmentosa,9.377716
"amino acid metabolism, inborn errors&lysosomal storage diseases",9.359885
"anemia, aplastic&leukemia, lymphocytic, chronic, b-cell",9.358939
albuminuria&behcet syndrome,9.348281
behcet syndrome&proteinuria,9.348281
mycobacterium infections&nervous system diseases,9.338571
"pancreatic diseases&spondylitis, ankylosing",9.281476
"heart defects, congenital&peripheral nervous system diseases",9.238519
malformations of cortical development&spinocerebellar ataxias,9.189227
"ankylosis&death, sudden",9.152951
disorders of sex development&spondylitis,8.990299
arthritis&spondylitis,8.978402
albuminuria&immune system diseases,8.968928
immune system diseases&proteinuria,8.968928
amyotrophic lateral sclerosis&spinal cord diseases,8.957829
celiac disease&immunologic deficiency syndromes,8.935131
immunologic deficiency syndromes&malabsorption syndromes,8.935131
"amino acid metabolism, inborn errors&immune system diseases",8.901623
hair diseases&neoplasms,8.896165
craniofacial abnormalities&hypersensitivity,8.888488
disorders of sex development&spondylarthropathies,8.879436
"head and neck neoplasms&lung diseases, obstructive",8.856975
autoimmune diseases&precursor cell lymphoblastic leukemia-lymphoma,8.763781
muscular diseases&spinal cord diseases,8.72946
"anemia, aplastic&hemorrhagic disorders",8.714212
motor neuron disease&spinal cord diseases,8.709448
hypersensitivity&sleep disorders,8.70066
dyskinesias&parkinsonian disorders,8.655982
dyskinesias&spinocerebellar degenerations,8.608135
"bone diseases, metabolic&spinal cord diseases",8.578894
polyneuropathies&vasculitis,8.406853
"anemia, aplastic&myeloproliferative disorders",8.389226
"leprosy&metabolism, inborn errors",8.383473
cranial nerve diseases&vascular diseases,8.359166
"spondylitis, ankylosing&varicose veins",8.323888
"amino acid metabolism, inborn errors&blood platelet disorders",8.301495
hair diseases&head and neck neoplasms,8.288402
liver cirrhosis&lysosomal storage diseases,8.189201
"liver cirrhosis, biliary&lysosomal storage diseases",8.189201
demyelinating diseases&dwarfism,8.125762
dwarfism&multiple sclerosis,8.125762
muscular diseases&spinocerebellar ataxias,8.089448
"behcet syndrome&colitis, ulcerative",8.084944
endocrine system diseases&hyperthyroidism,8.075339
hyperthyroidism&thyroid diseases,8.075339
"bone diseases, metabolic&osteoporosis",8.007694
immune system diseases&immunologic deficiency syndromes,8.006862
"adenocarcinoma&spastic paraplegia, hereditary",7.97594
"immunologic deficiency syndromes&spondylitis, ankylosing",7.945872
movement disorders&polyneuropathies,7.945676
"hair diseases&neoplasms, germ cell and embryonal",7.895193
hair diseases&ovarian neoplasms,7.895193
"amino acid metabolism, inborn errors&hemorrhagic disorders",7.858132
bile duct diseases&intestinal neoplasms,7.845534
"behcet syndrome&leukemia, myeloid, acute",7.838455
spinal cord diseases&spinocerebellar ataxias,7.816731
amyotrophic lateral sclerosis&demyelinating diseases,7.794369
amyotrophic lateral sclerosis&multiple sclerosis,7.794369
demyelinating diseases&motor neuron disease,7.794369
motor neuron disease&multiple sclerosis,7.794369
craniofacial abnormalities&nervous system diseases,7.790813
cerebellar ataxia&charcot-marie-tooth disease,7.723501
cerebellar ataxia&hereditary sensory and motor neuropathy,7.723501
"colitis, ulcerative&peripheral nervous system diseases",7.693737
dyssomnias&macular degeneration,7.688327
lipidoses&respiratory tract diseases,7.670223
"peripheral nervous system diseases&spondylitis, ankylosing",7.634628
adenocarcinoma&adrenal gland diseases,7.612737
exophthalmos&immunologic deficiency syndromes,7.590977
craniofacial abnormalities&muscular diseases,7.58996
dyskinesias&sleep disorders,7.573448
"metabolism, inborn errors&varicose veins",7.569285
"leukemia, b-cell&myeloproliferative disorders",7.523409
"immune system diseases&metal metabolism, inborn errors",7.514103
hemorrhagic disorders&precursor cell lymphoblastic leukemia-lymphoma,7.489493
muscular dystrophies&spinocerebellar ataxias,7.476499
"amino acid metabolism, inborn errors&liver cirrhosis",7.46485
"amino acid metabolism, inborn errors&liver cirrhosis, biliary",7.46485
nervous system diseases&stomatognathic diseases,7.451781
"celiac disease&colitis, ulcerative",7.425216
celiac disease&stomatognathic diseases,7.425216
adrenal gland diseases&retinitis pigmentosa,7.409079
"bone diseases, metabolic&spinocerebellar degenerations",7.39641
"goiter&lung diseases, obstructive",7.386516
dyskinesias&lysosomal storage diseases,7.372427
"endocrine system diseases&lung diseases, obstructive",7.362128
"lung diseases, obstructive&thyroid diseases",7.362128
gastroenteritis&hypotrichosis,7.331133
behcet syndrome&myeloproliferative disorders,7.327698
hair diseases&psoriasis,7.309837
muscular diseases&stomatognathic diseases,7.259669
"anemia, aplastic&liver cirrhosis",7.237029
"anemia, aplastic&liver cirrhosis, biliary",7.237029
nervous system diseases&precursor cell lymphoblastic leukemia-lymphoma,7.230874
dyskinesias&malformations of cortical development,7.214447
"glioma&neoplasms, connective and soft tissue",7.204449
autoimmune diseases&blood coagulation disorders,7.202042
"autoimmune diseases&blood coagulation disorders, inherited",7.202042
"leukemia, lymphocytic, chronic, b-cell&myeloproliferative disorders",7.191271
"anemia, hemolytic&dwarfism",7.190258
cerebellar ataxia&craniofacial abnormalities,7.174896
"adrenal gland diseases&death, sudden",7.166894
arthritis&mycobacterium infections,7.155466
demyelinating diseases&spinal cord diseases,7.125751
multiple sclerosis&spinal cord diseases,7.125751
blood coagulation disorders&liver cirrhosis,7.103993
"blood coagulation disorders&liver cirrhosis, biliary",7.103993
"blood coagulation disorders, inherited&liver cirrhosis",7.103993
"blood coagulation disorders, inherited&liver cirrhosis, biliary",7.103993
muscular diseases&respiratory tract diseases,7.101106
immunologic deficiency syndromes&myeloproliferative disorders,7.084613
dwarfism&macular degeneration,7.060709
"albuminuria&metabolism, inborn errors",7.046812
"metabolism, inborn errors&proteinuria",7.046812
hypothalamic diseases&nervous system diseases,7.043583
"anemia, hemolytic&leukemia",7.028315
myeloproliferative disorders&precursor cell lymphoblastic leukemia-lymphoma,6.992137
"immune system diseases&metabolism, inborn errors",6.937894
"anemia, hemolytic&precursor cell lymphoblastic leukemia-lymphoma",6.922575
ovarian neoplasms&pancreatic diseases,6.885756
pancreatic diseases&varicose veins,6.885756
"anemia, hemolytic&leukemia, lymphocytic, chronic, b-cell",6.855123
peripheral nervous system diseases&psoriasis,6.848399
"arthritis&arthritis, rheumatoid",6.843824
charcot-marie-tooth disease&muscular diseases,6.808585
hereditary sensory and motor neuropathy&muscular diseases,6.808585
"anemia, hemolytic&leukemia, b-cell",6.773877
"leukemia, lymphocytic, chronic, b-cell&nervous system diseases",6.768554
"abnormalities, multiple&arthritis, rheumatoid",6.760481
muscular dystrophies&retinitis pigmentosa,6.75398
behcet syndrome&demyelinating diseases,6.748514
behcet syndrome&multiple sclerosis,6.748514
"amino acid metabolism, inborn errors&leprosy",6.731256
hemorrhagic disorders&liver cirrhosis,6.704818
"hemorrhagic disorders&liver cirrhosis, biliary",6.704818
blood coagulation disorders&disorders of sex development,6.699777
"blood coagulation disorders, inherited&disorders of sex development",6.699777
"anemia, hemolytic&hemorrhagic disorders",6.67352
ovarian diseases&sleep disorders,6.667887
myocardial ischemia&pancreatic diseases,6.667113
neoplasms&stomatognathic diseases,6.654348
mycobacterium infections&vasculitis,6.631449
leukemia&lipidoses,6.62877
"leukemia, b-cell&nervous system diseases",6.625291
"leukemia, myeloid, acute&malformations of cortical development",6.606698
celiac disease&immune system diseases,6.600025
immune system diseases&malabsorption syndromes,6.600025
"death, sudden&muscular diseases",6.597568
multiple sclerosis&stomatognathic diseases,6.595073
"colitis, ulcerative&multiple sclerosis",6.595073
"hair diseases&leukemia, myeloid, acute",6.589049
epilepsy&vascular diseases,6.579771
hypothalamic diseases&vascular diseases,6.571372
leprosy&movement disorders,6.56926
malformations of cortical development&spondylitis,6.550075
"amino acid metabolism, inborn errors&celiac disease",6.519541
"amino acid metabolism, inborn errors&malabsorption syndromes",6.519541
"anemia, aplastic&metabolism, inborn errors",6.515217
"metabolism, inborn errors&spondylitis, ankylosing",6.512882
"amino acid metabolism, inborn errors&leukemia, myeloid, acute",6.477666
disorders of sex development&varicose veins,6.472057
malformations of cortical development&spondylarthropathies,6.469303
ovarian diseases&ovarian neoplasms,6.456201
"neoplasms, germ cell and embryonal&ovarian diseases",6.456201
aneurysm&vascular diseases,6.442059
breast neoplasms&lymphatic diseases,6.419673
lymphoma&spinal cord diseases,6.418499
"bile duct diseases&purine-pyrimidine metabolism, inborn errors",6.40698
dyssomnias&myeloproliferative disorders,6.404951
asthma&muscular diseases,6.403632
leprosy&respiratory tract diseases,6.351589
movement disorders&spinocerebellar ataxias,6.316046
"anemia, aplastic&neoplasms, connective and soft tissue",6.309342
"colitis, ulcerative&muscular diseases",6.298834
intellectual disability&movement disorders,6.27133
movement disorders&mycobacterium infections,6.267666
arterial occlusive diseases&bone diseases,6.263266
"lupus erythematosus, systemic&polyneuropathies",6.261002
"albuminuria&purine-pyrimidine metabolism, inborn errors",6.250725
"proteinuria&purine-pyrimidine metabolism, inborn errors",6.250725
albuminuria&epilepsy,6.250725
albuminuria&metabolic syndrome x,6.250725
albuminuria&myocardial infarction,6.250725
"albuminuria&neoplasms, connective and soft tissue",6.250725
albuminuria&respiratory tract diseases,6.250725
epilepsy&proteinuria,6.250725
glioma&myocardial infarction,6.250725
"glioma&purine-pyrimidine metabolism, inborn errors",6.250725
metabolic syndrome x&proteinuria,6.250725
myocardial infarction&proteinuria,6.250725
"neoplasms, connective and soft tissue&proteinuria",6.250725
proteinuria&respiratory tract diseases,6.250725
vascular diseases&vasculitis,6.245657
crohn disease&intestinal neoplasms,6.245084
coronary disease&intellectual disability,6.204436
"adenocarcinoma&anemia, aplastic",6.202158
"blood platelet disorders&leukemia, b-cell",6.193684
exophthalmos&spinocerebellar degenerations,6.173452
glioma&nervous system diseases,6.164942
celiac disease&lipidoses,6.161565
lipidoses&malabsorption syndromes,6.161565
epilepsy&malformations of cortical development,6.154021
muscular diseases&ovarian diseases,6.15078
"hair diseases&neoplasms, connective and soft tissue",6.13398
cardiomegaly&neuroendocrine tumors,6.132045
disorders of sex development&joint diseases,6.12944
muscular diseases&osteoporosis,6.122359
"amino acid metabolism, inborn errors&lipidoses",6.096533
asthma&celiac disease,6.094012
malformations of cortical development&psoriasis,6.065724
intestinal neoplasms&vascular diseases,6.062658
dyssomnias&lymphoma,6.061581
exophthalmos&hemorrhagic disorders,6.0462
behcet syndrome&rheumatic diseases,6.044357
lymphoma&multiple sclerosis,6.030262
alzheimer disease&spinocerebellar degenerations,6.019872
"diabetes mellitus, type 1&glomerulonephritis",5.986317
glomerulonephritis&liver cirrhosis,5.986317
"blood platelet disorders&leukemia, lymphocytic, chronic, b-cell",5.974322
"diabetes mellitus, type 1&diabetes mellitus, type 2",5.963237
"spondylitis, ankylosing&vascular diseases",5.954049
ankylosis&vascular diseases,5.943661
bone diseases&mycobacterium infections,5.939677
demyelinating diseases&spinocerebellar ataxias,5.910376
multiple sclerosis&spinocerebellar ataxias,5.910376
exophthalmos&hair diseases,5.905918
lymphatic diseases&respiratory tract diseases,5.898733
demyelinating diseases&dyssomnias,5.898701
dyssomnias&multiple sclerosis,5.898701
"anemia, hemolytic&craniofacial abnormalities",5.8884
"celiac disease&metal metabolism, inborn errors",5.886602
"malabsorption syndromes&metal metabolism, inborn errors",5.886602
epilepsy&spinocerebellar degenerations,5.880976
alzheimer disease&spinocerebellar ataxias,5.864863
"bone diseases, metabolic&spondylarthropathies",5.859016
"bone diseases, metabolic&spondylitis",5.855734
"amino acid metabolism, inborn errors&anemia, hemolytic",5.838449
amyotrophic lateral sclerosis&cerebellar ataxia,5.825254
amyotrophic lateral sclerosis&spinocerebellar degenerations,5.825254
cerebellar ataxia&motor neuron disease,5.825254
motor neuron disease&spinocerebellar degenerations,5.825254
"motor neuron disease&spastic paraplegia, hereditary",5.825254
"leukemia, myeloid, acute&vascular diseases",5.817219
"blood coagulation disorders&leukemia, myeloid, acute",5.810287
"blood coagulation disorders, inherited&leukemia, myeloid, acute",5.810287
peripheral nervous system diseases&spinal cord diseases,5.790914
colorectal neoplasms&immunologic deficiency syndromes,5.790156
neuroendocrine tumors&osteoporosis,5.786788
"lysosomal storage diseases&metal metabolism, inborn errors",5.781072
