Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	regulation of trans-synaptic signaling (GO:0099177)	11/35	2.182076693885817e-12	2.8981945906974354e-10	0	0	31.20472895040369	837.8701911549017	NLGN1;PXK;GRID2;RELN;NRG3;GRID1;GRIK5;GRIK3;GRIK4;GRIK1;GRIK2
GO_Biological_Process_2021	nervous system development (GO:0007399)	30/447	7.802628891920034e-12	9.499700675912642e-10	0	0	5.138022915001332	131.4129534302939	ROBO2;SEMA5A;CHRNA3;NLGN1;NRSN1;PLXND1;MYT1L;NCAN;NRXN1;NRXN2;GRIK1;ROBO1;RELN;ERBB4;NRCAM;DRD1;KIRREL3;RBFOX1;RBFOX2;SEMA6A;DSCAM;CNTN6;POU6F2;NRG1;SDK1;NFASC;NAV3;APBA1;CNTN4;DSCAML1
GO_Biological_Process_2021	regulation of cation channel activity (GO:2001257)	14/89	6.00275403948309e-11	6.289177398564177e-09	0	0	12.808857808857805	301.4720652683976	GRIA1;GRIA2;CAMK2D;NLGN1;PDE4D;ANK3;GRIN2B;CACNB2;GRIN2A;DLG1;CACNB4;RELN;DLG2;GRIA4
GO_Biological_Process_2021	regulation of synaptic transmission, glutamatergic (GO:0051966)	11/46	6.026590251875323e-11	6.289177398564177e-09	0	0	21.38556599110232	503.250584441118	GRM3;NLGN1;GRM5;RELN;GRM7;NRXN1;GRM8;GRIK3;GRIK1;DRD1;GRM1
GO_Biological_Process_2021	regulation of postsynaptic membrane potential (GO:0060078)	10/35	6.542275802180268e-11	6.372176631323581e-09	0	0	27.13793103448276	636.388578849714	GABRA2;GABRA1;MPP2;CHRNA3;GRIN2A;GRID2;GABRG3;GRIN2B;GABRG2;GABRG1
GO_Biological_Process_2021	regulation of NMDA receptor activity (GO:2000310)	9/32	7.066676786648203e-10	6.45275924080814e-08	0	0	26.45943523083819	557.5124876581882	GRIA1;GRIA2;NLGN1;GRIN2A;DLG1;RELN;DLG2;GRIN2B;GRIA4
GO_Biological_Process_2021	positive regulation of synaptic transmission (GO:0050806)	12/73	8.468436102057431e-10	7.27787361476818e-08	0	0	13.414617486338797	280.22472010012933	RIMS2;RIMS1;MPP2;NLGN1;GRIN2A;RELN;CLSTN2;CHRNA7;NRXN1;GRIK2;DRD1;GRIN2B
GO_Biological_Process_2021	G protein-coupled glutamate receptor signaling pathway (GO:0007216)	7/15	9.249443976172419e-10	7.507465360659947e-08	0	0	58.80716723549488	1223.26479219137	GRM3;GRM5;GRM7;GRM8;GRIK3;HOMER3;GRM1
GO_Biological_Process_2021	homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	11/60	1.2849552569162254e-09	9.880629633445292e-08	0	0	15.264529341148224	312.50371711156885	PTPRT;ROBO2;KIRREL3;SDK1;DSCAM;CNTN6;PTPRM;CDH13;CNTN4;DSCAML1;ROBO1
GO_Biological_Process_2021	semaphorin-plexin signaling pathway (GO:0071526)	9/35	1.710076348937844e-09	1.249210772899095e-07	0	0	23.40285487708168	472.4270615894937	SEMA5A;NRP2;SEMA6A;PLXND1;SEMA6D;PLXNA2;PLXNB1;SEMA4G;PLXNA4
GO_Biological_Process_2021	cell junction assembly (GO:0034329)	13/102	4.255958986288847e-09	2.860873152890382e-07	0	0	9.980934111106759	192.38196324278562	KIRREL3;NLGN1;PLXND1;DSCAM;NRXN1;NRXN2;CDH8;CDH7;SDK1;CDH10;NRCAM;DRD1;CDH18
GO_Biological_Process_2021	positive regulation of excitatory postsynaptic potential (GO:2000463)	7/18	4.40092896312777e-09	2.860873152890382e-07	0	0	42.76233322991003	822.8093048653071	RIMS2;RIMS1;NLGN1;CUX2;RELN;CHRNA7;NRXN1
GO_Biological_Process_2021	inhibitory synapse assembly (GO:1904862)	6/11	4.699586288115617e-09	2.860873152890382e-07	0	0	80.38775510204081	1541.4988194067166	GABRA2;GABRB3;GABRA1;GABRB2;PLXNB1;GABRG2
GO_Biological_Process_2021	synaptic transmission, GABAergic (GO:0051932)	6/11	4.699586288115617e-09	2.860873152890382e-07	0	0	80.38775510204081	1541.4988194067166	GABRA2;GABRA1;GABRB2;GABRG3;GABRG2;GABRG1
GO_Biological_Process_2021	regulation of neurotransmitter receptor activity (GO:0099601)	10/58	1.3714295870161464e-08	8.01463450652236e-07	0	0	14.117816091954026	255.6006187250277	GRIA1;GRIA2;NLGN1;GRIN2A;DLG1;RELN;DLG2;DLGAP2;GRIN2B;GRIA4
GO_Biological_Process_2021	semaphorin-plexin signaling pathway involved in neuron projection guidance (GO:1902285)	6/13	1.7019283111414375e-08	9.563527932990922e-07	0	0	57.41399416909621	1027.074281687094	NRP2;PLXND1;PLXNA2;PLXNB1;PLXNC1;PLXNA4
GO_Biological_Process_2021	positive regulation of cell projection organization (GO:0031346)	13/117	2.304437517813105e-08	1.2469567457499805e-06	0	0	8.534843205574912	150.0924222382597	ROBO2;CARMIL1;PLXND1;MAGI2;ZNF804A;ROBO1;PTPRD;CUX2;RELN;PLXNA2;PLXNB1;PLXNC1;PLXNA4
GO_Biological_Process_2021	neuron projection morphogenesis (GO:0048812)	14/140	2.5824968409362693e-08	1.3259458828590908e-06	0	0	7.6045066045066045	132.86536179515687	CNTNAP2;NLGN1;DCC;LMTK2;DCDC2;ANK3;NYAP2;MAP1B;SLITRK5;NRCAM;PLXNB1;CNTN4;CTNNA2;DSCAML1
GO_Biological_Process_2021	axon development (GO:0061564)	11/79	2.63192543483324e-08	1.3259458828590908e-06	0	0	10.988805210665582	191.78723340521225	SEMA5A;GRM7;DCC;MAP1B;LMTK2;SLITRK5;NRCAM;ANK3;CTNNA2;CNTN4;DSCAML1
GO_Biological_Process_2021	chloride transmembrane transport (GO:1902476)	9/50	4.982321346660171e-08	2.4263904958235038e-06	0	0	14.829519738496352	249.355183500278	GABRB3;GABRA2;GABRB2;GABRA1;GABRB1;SLC6A1;GABRG3;GABRG2;GABRG1
GO_Biological_Process_2021	neuron cell-cell adhesion (GO:0007158)	6/16	7.646502590004009e-08	3.6037226722567285e-06	0	0	40.18367346938776	658.4670480229858	NLGN1;NRXN1;NRXN3;NRXN2;CNTN4;ASTN1
GO_Biological_Process_2021	semaphorin-plexin signaling pathway involved in axon guidance (GO:1902287)	5/9	8.80966028080047e-08	4.022160521952964e-06	0	0	83.45762711864407	1355.7551204262304	PLXND1;PLXNA2;PLXNB1;PLXNC1;PLXNA4
GO_Biological_Process_2021	regulation of heart rate by cardiac conduction (GO:0086091)	8/39	9.590482481268168e-08	4.245968153070543e-06	0	0	17.383119752540875	280.90964281878524	CACNB2;CAMK2D;KCNH6;CACNA2D1;CACNA1D;CTNNA3;CACNA1C;CACNA1G
GO_Biological_Process_2021	regulation of cardiac muscle cell contraction (GO:0086004)	7/27	1.0937567303945308e-07	4.56565309458974e-06	0	0	23.508532423208194	376.80597921346117	RYR2;CAMK2D;DLG1;PDE4D;PDE4B;CTNNA3;CACNA1C
GO_Biological_Process_2021	modulation of excitatory postsynaptic potential (GO:0098815)	7/27	1.0937567303945308e-07	4.56565309458974e-06	0	0	23.508532423208194	376.80597921346117	RIMS2;RIMS1;NLGN1;CUX2;RELN;CHRNA7;NRXN1
GO_Biological_Process_2021	positive regulation of neurogenesis (GO:0050769)	10/72	1.1711798234017957e-07	4.753038116638953e-06	0	0	10.922135706340379	174.31820348734226	ROBO2;PTPRD;CUX2;PLXND1;PLXNA2;PLXNB1;PLXNC1;DISC1;PLXNA4;ROBO1
GO_Biological_Process_2021	negative regulation of cell adhesion (GO:0007162)	10/73	1.339267273010822e-07	5.288295907753543e-06	0	0	10.748221127531474	170.1010573380217	SEMA5A;SEMA6A;PLXND1;DSCAM;PLXNA2;CDH13;PLXNB1;PLXNC1;PLXNA4;MUC21
GO_Biological_Process_2021	positive regulation of synapse assembly (GO:0051965)	7/28	1.4397098833682408e-07	5.535305630528946e-06	0	0	22.387940841865763	352.69187441204	PTPRD;NLGN1;GRID2;CUX2;CLSTN2;NRXN1;VSTM5
GO_Biological_Process_2021	cell morphogenesis involved in neuron differentiation (GO:0048667)	10/76	1.9775312635201558e-07	7.408136348725508e-06	0	0	10.258098223615463	158.34653198855378	DCC;MAP1B;LMTK2;SLITRK5;DCDC2;NRCAM;ANK3;CTNNA2;CNTN4;DSCAML1
GO_Biological_Process_2021	cardiac muscle cell contraction (GO:0086003)	6/19	2.494272384783813e-07	9.110329885422877e-06	0	0	30.905808477237052	469.8949592038231	CAMK2D;CACNA2D1;CACNA1D;CACNA1C;CACNA1G;SCN1A
GO_Biological_Process_2021	regulation of synapse assembly (GO:0051963)	8/47	4.4173837580603763e-07	1.5740969928112705e-05	0	0	13.811731647348086	202.10082684620548	ROBO2;PTPRD;NLGN1;GRID2;CUX2;CLSTN2;NRXN1;GPC6
GO_Biological_Process_2021	inorganic anion transmembrane transport (GO:0098661)	9/65	5.220976148693638e-07	1.8161538460098583e-05	0	0	10.849042709867454	156.93586462849126	GABRB3;GABRA2;GABRB2;GABRA1;GABRB1;SLC6A1;GABRG3;GABRG2;GABRG1
GO_Biological_Process_2021	neuron migration (GO:0001764)	8/50	7.253428127863658e-07	2.4644787197229778e-05	0	0	12.823222439660794	181.27704138100125	RELN;AUTS2;MAP1B;DCDC2;NRCAM;DISC1;KIAA0319;ASTN1
GO_Biological_Process_2021	neurotransmitter transport (GO:0006836)	9/73	1.4277359128709112e-06	4.740732201600912e-05	0	0	9.489046391752575	127.71706691708636	GABRA2;RIMS1;SLC6A16;NRXN1;NRXN2;APBA1;TSPOAP1;SLC6A4;PPFIA2
GO_Biological_Process_2021	regulation of cardiac muscle cell action potential (GO:0098901)	6/25	1.5092357717772302e-06	4.899985472370074e-05	0	0	21.139634801288942	283.35370199079733	RYR2;CAMK2D;DLG1;NOS1AP;CTNNA3;CACNA1C
GO_Biological_Process_2021	cellular response to histamine (GO:0071420)	4/7	1.6760709696244024e-06	5.323347144828809e-05	0	0	88.72522522522524	1179.9619351569454	GABRB3;GABRB2;GABRB1;GABRG2
GO_Biological_Process_2021	chloride transport (GO:0006821)	9/76	2.014435203451326e-06	6.261893260090186e-05	0	0	9.062778889059857	118.8599011902126	GABRB3;GABRA2;GABRB2;GABRA1;GABRB1;SLC6A1;GABRG3;GABRG2;GABRG1
GO_Biological_Process_2021	receptor clustering (GO:0043113)	6/28	3.091253170822211e-06	9.409001838690104e-05	0	0	18.254174397031537	231.58950566035327	NLGN1;DLG1;DLG2;NRXN1;MAGI2;NRXN2
GO_Biological_Process_2021	positive regulation of axonogenesis (GO:0050772)	7/43	3.2317052545037137e-06	9.635757911897807e-05	0	0	13.049677664012133	164.98055792507807	ROBO2;PLXND1;PLXNA2;PLXNB1;PLXNC1;PLXNA4;ROBO1
GO_Biological_Process_2021	membrane depolarization during cardiac muscle cell action potential (GO:0086012)	5/17	3.91996915535834e-06	0.00011332011491782937	0	0	27.807909604519768	346.19253432399444	CACNB2;CACNA2D1;CACNA1D;CACNA1C;CACNA1G
GO_Biological_Process_2021	regulation of cell migration (GO:0030334)	20/408	3.955732964277411e-06	0.00011332011491782937	0	0	3.5552282768777617	44.228265066421	PTPRT;SEMA5A;CARMIL1;SEMA6A;PLXND1;SEMA6D;MAGI2;SEMA4G;ROBO1;NAV3;ERBB4;PLXNA2;CDH13;PLXNB1;PHACTR1;CTNNA2;PLXNC1;DRD1;PLXNA4;SMIM22
GO_Biological_Process_2021	cardiac muscle cell action potential involved in contraction (GO:0086002)	6/31	5.8170386110398105e-06	0.00016343641174479154	0	0	16.061224489795922	193.61355212303832	RYR2;CACNA2D1;CACNA1D;CACNA1C;CACNA1G;SCN1A
GO_Biological_Process_2021	negative regulation of chemotaxis (GO:0050922)	6/32	7.069731959293407e-06	0.0001944440168552937	0	0	15.442700156985874	183.14560560319802	ROBO2;SEMA5A;SEMA6A;SEMA6D;SEMA4G;ROBO1
GO_Biological_Process_2021	excitatory postsynaptic potential (GO:0060079)	5/19	7.186842512105311e-06	0.0001944440168552937	0	0	23.832929782082324	282.2595513818365	MPP2;CHRNA3;GRID2;GRIN2A;GRIN2B
GO_Biological_Process_2021	regulation of high voltage-gated calcium channel activity (GO:1901841)	4/10	9.704204314934024e-06	0.000253175759002118	0	0	44.35585585585586	511.9974854258672	CACNB2;CACNA2D1;NOS1AP;PDE4B
GO_Biological_Process_2021	response to histamine (GO:0034776)	4/10	9.704204314934024e-06	0.000253175759002118	0	0	44.35585585585586	511.9974854258672	GABRB3;GABRB2;GABRB1;GABRG2
GO_Biological_Process_2021	regulation of axonogenesis (GO:0050770)	7/51	1.0479424926363074e-05	0.0002686042073230956	0	0	10.672665218740304	122.3738120212936	ROBO2;PLXND1;PLXNA2;PLXNB1;PLXNC1;PLXNA4;ROBO1
GO_Biological_Process_2021	calcium ion transport into cytosol (GO:0060402)	5/21	1.2271100096800025e-05	0.00030910478002456614	0	0	20.85169491525424	235.79646356388938	RYR2;GRIN2A;CACNA2D1;CACNA1C;GRIN2B
GO_Biological_Process_2021	calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0016339)	6/36	1.4448929654537762e-05	0.0003577946817844012	0	0	13.38095238095238	149.12924530468584	NLGN1;CDH10;CDH13;CDH8;CDH18;CDH7
GO_Biological_Process_2021	regulation of calcium ion transmembrane transport via high voltage-gated calcium channel (GO:1902514)	4/11	1.5069444002759256e-05	0.000366940961467188	0	0	38.01737451737453	422.10088124351	CACNB2;CAMK2D;CACNA2D1;NOS1AP
GO_Biological_Process_2021	brain development (GO:0007420)	11/150	1.6910041945872962e-05	0.000405009365293777	0	0	5.3563764905031	58.853737938319966	ROBO2;CNTNAP2;EPHA7;GRIN2A;RELN;NFIB;CNTN4;CTNNA2;GRIN2B;DSCAML1;SLC6A4
GO_Biological_Process_2021	regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum (GO:0010880)	5/23	1.979824191913011e-05	0.00046653599102982414	0	0	18.53295668549906	200.71039038139477	RYR2;CAMK2D;PDE4D;AKAP6;CACNA1C
GO_Biological_Process_2021	positive regulation of cell junction assembly (GO:1901890)	7/57	2.216189188167096e-05	0.0005020767880957198	0	0	9.389078498293514	100.62403424179932	PTPRD;CNTNAP2;GRID2;NLGN1;CUX2;CLSTN2;NRXN1
GO_Biological_Process_2021	protein localization to synapse (GO:0035418)	4/12	2.233743410419014e-05	0.0005020767880957198	0	0	33.263513513513516	356.22716991310773	NLGN1;PCLO;NRXN1;NRXN2
GO_Biological_Process_2021	regulation of ventricular cardiac muscle cell action potential (GO:0098911)	4/12	2.233743410419014e-05	0.0005020767880957198	0	0	33.263513513513516	356.22716991310773	RYR2;DLG1;CTNNA3;CACNA1C
GO_Biological_Process_2021	regulation of axon extension involved in axon guidance (GO:0048841)	5/24	2.470266695763917e-05	0.0005468272185622852	0	0	17.55664585191793	186.25142170551803	SEMA5A;SEMA6A;DSCAM;SEMA6D;SEMA4G
GO_Biological_Process_2021	chemical synaptic transmission, postsynaptic (GO:0099565)	5/25	3.0501075580583186e-05	0.0006651055436303287	0	0	16.677966101694913	173.4132988521183	MPP2;CHRNA3;GRIN2A;GRID2;GRIN2B
GO_Biological_Process_2021	cell-cell junction organization (GO:0045216)	8/82	3.1798588732042795e-05	0.0006787342787945908	0	0	7.266197704553869	75.2493875670384	PKHD1;SDK1;CADM2;CDH10;CDH13;CDH8;CDH18;CDH7
GO_Biological_Process_2021	membrane depolarization during AV node cell action potential (GO:0086045)	3/5	3.2676487994584795e-05	0.0006787342787945908	0	0	99.48484848484848	1027.564550845814	CACNB2;CACNA1C;CACNA1G
GO_Biological_Process_2021	postsynaptic density protein 95 clustering (GO:0097119)	3/5	3.2676487994584795e-05	0.0006787342787945908	0	0	99.48484848484848	1027.564550845814	NLGN1;NRXN1;NRXN2
GO_Biological_Process_2021	regulation of cell adhesion (GO:0030155)	10/133	3.298434893526074e-05	0.0006787342787945908	0	0	5.488365573310905	56.63706440720839	SEMA5A;PKHD1;EPHA7;PLXND1;DSCAM;PLXNA2;CDH13;PLXNB1;PLXNC1;PLXNA4
GO_Biological_Process_2021	calcium ion transmembrane import into cytosol (GO:0097553)	6/42	3.608350005193241e-05	0.0007321943552204619	0	0	11.147392290249432	114.03419865925095	RYR2;GRIN2A;CACNA2D1;HTR2C;HTR2A;GRIN2B
GO_Biological_Process_2021	neural crest cell development (GO:0014032)	6/45	5.395267351013974e-05	0.0010593117306028398	0	0	10.288330716902143	101.10757536384413	SEMA5A;SEMA6A;ERBB4;SEMA6D;NRG1;SEMA4G
GO_Biological_Process_2021	positive regulation of nervous system development (GO:0051962)	6/45	5.395267351013974e-05	0.0010593117306028398	0	0	10.288330716902143	101.10757536384413	PTPRD;NLGN1;GRID2;CUX2;CLSTN2;NRXN1
GO_Biological_Process_2021	positive regulation of cell communication (GO:0010647)	5/28	5.4379452289673496e-05	0.0010593117306028398	0	0	14.500368459837878	142.3867188657039	RIMS2;RIMS1;CLSTN2;GRIK2;ANK3
GO_Biological_Process_2021	central nervous system development (GO:0007417)	14/268	5.7295052375074526e-05	0.0011014219936839986	0	0	3.747646054732669	36.60436938397406	ROBO2;CNTNAP2;EPHA7;CNTN6;NCAN;POU6F2;GRIK1;GRIN2B;GRIN2A;RELN;NFIB;NRCAM;CNTN4;DSCAML1
GO_Biological_Process_2021	regulation of relaxation of cardiac muscle (GO:1901897)	3/6	6.46264444159971e-05	0.0011802404411471467	0	0	66.31986531986531	639.7802382830533	CAMK2D;PDE4D;PDE4B
GO_Biological_Process_2021	imitative learning (GO:0098596)	3/6	6.46264444159971e-05	0.0011802404411471467	0	0	66.31986531986531	639.7802382830533	CNTNAP2;NRXN1;NRXN2
GO_Biological_Process_2021	prepulse inhibition (GO:0060134)	3/6	6.46264444159971e-05	0.0011802404411471467	0	0	66.31986531986531	639.7802382830533	GRID2;CTNNA2;DRD1
GO_Biological_Process_2021	vocal learning (GO:0042297)	3/6	6.46264444159971e-05	0.0011802404411471467	0	0	66.31986531986531	639.7802382830533	CNTNAP2;NRXN1;NRXN2
GO_Biological_Process_2021	cardiac muscle cell action potential (GO:0086001)	5/30	7.693805474438095e-05	0.0013877345429819824	0	0	13.338983050847462	126.35364958827284	CACNA2D1;CACNA1D;CACNA1C;CACNA1G;SCN1A
GO_Biological_Process_2021	dendrite self-avoidance (GO:0070593)	4/16	7.832514757773463e-05	0.001395524885500857	0	0	22.171171171171174	209.6204825292737	DSCAM;CNTN6;CNTN4;DSCAML1
GO_Biological_Process_2021	adherens junction organization (GO:0034332)	6/49	8.808952805813497e-05	0.0015505879577462072	0	0	9.32937826293308	87.10986858643513	CADM2;CDH10;CDH13;CDH8;CDH18;CDH7
GO_Biological_Process_2021	negative regulation of axon extension (GO:0030517)	5/31	9.061527293213452e-05	0.0015575166323982179	0	0	12.825293350717079	119.38921659502199	SEMA5A;SEMA6A;SEMA6D;SEMA4G;KIAA0319
GO_Biological_Process_2021	regulation of potassium ion transport (GO:0043266)	5/31	9.061527293213452e-05	0.0015575166323982179	0	0	12.825293350717079	119.38921659502199	DPP6;DLG1;CACNA1D;DRD1;ANK3
GO_Biological_Process_2021	AV node cell action potential (GO:0086016)	3/7	0.00011183970780302944	0.0018567933306843864	0	0	49.737373737373744	452.53270429070096	CACNB2;CACNA1C;CACNA1G
GO_Biological_Process_2021	neuron projection arborization (GO:0140058)	3/7	0.00011183970780302944	0.0018567933306843864	0	0	49.737373737373744	452.53270429070096	NLGN1;CHRNA7;PHACTR1
GO_Biological_Process_2021	establishment of centrosome localization (GO:0051660)	3/7	0.00011183970780302944	0.0018567933306843864	0	0	49.737373737373744	452.53270429070096	PKHD1;DLG1;PARD3B
GO_Biological_Process_2021	negative chemotaxis (GO:0050919)	5/33	0.00012350729744299802	0.0020274624894856194	0	0	11.907990314769973	107.16250927201048	EPHA7;SEMA6A;SEMA6D;SEMA4G;ROBO1
GO_Biological_Process_2021	positive regulation of synaptic transmission, glutamatergic (GO:0051968)	4/18	0.00012860746096371876	0.002087727782977701	0	0	19.001930501930502	170.23346376527974	NLGN1;RELN;NRXN1;DRD1
GO_Biological_Process_2021	postsynaptic density organization (GO:0097106)	3/8	0.00017695661078885532	0.002841028663324369	0	0	39.78787878787879	343.7515959937793	NLGN1;NRXN1;NRXN2
GO_Biological_Process_2021	cyclic-nucleotide-mediated signaling (GO:0019935)	5/36	0.00018910296893620104	0.0029707466410299967	0	0	10.75396391470749	92.19608649070223	RIMS2;PDE4D;PDE3A;HTR2C;AKAP6
GO_Biological_Process_2021	membrane assembly (GO:0071709)	5/36	0.00018910296893620104	0.0029707466410299967	0	0	10.75396391470749	92.19608649070223	PTPRD;NLGN1;NRXN1;NRXN2;ANK3
GO_Biological_Process_2021	negative regulation of axon extension involved in axon guidance (GO:0048843)	4/20	0.0001988671383061355	0.0030909030751623827	0	0	16.625	141.69277364851058	SEMA5A;SEMA6A;SEMA6D;SEMA4G
GO_Biological_Process_2021	neural crest cell migration (GO:0001755)	5/37	0.00021598958669462345	0.00332169248590363	0	0	10.417372881355933	87.92554774569498	SEMA5A;SEMA6A;ERBB4;SEMA6D;SEMA4G
GO_Biological_Process_2021	acetylcholine receptor signaling pathway (GO:0095500)	4/21	0.00024277238956457056	0.0036946923036858094	0	0	15.646263910969793	130.22989746281596	CHRNA3;CHRNA7;PLCB1;RGS8
GO_Biological_Process_2021	postsynaptic membrane assembly (GO:0097104)	3/9	0.00026248957151620326	0.0039535800410842575	0	0	33.15488215488215	273.3719234496164	NLGN1;NRXN1;NRXN2
GO_Biological_Process_2021	regulation of dendrite development (GO:0050773)	5/39	0.0002783935169324039	0.0041503360024310425	0	0	9.803589232303091	80.25683734344699	CHRNA3;DCC;ADGRB3;CSMD3;KIAA0319
GO_Biological_Process_2021	regulation of voltage-gated calcium channel activity (GO:1901385)	4/22	0.0002932363546497273	0.0043274577186187034	0	0	14.776276276276276	120.1980863436154	CACNB2;CACNB4;NOS1AP;PDE4B
GO_Biological_Process_2021	calcium ion transmembrane transport (GO:0070588)	7/87	0.000334074393018841	0.004880826882005267	0	0	5.859215017064847	46.898017458637504	GRIN2A;CACNA2D1;CACNA1D;CACNA1C;NALCN;GRIN2B;CACNA1G
GO_Biological_Process_2021	calcium ion transport (GO:0006816)	8/115	0.0003447142995752142	0.0049864117988058215	0	0	5.016771220074253	39.99768649878654	CACNB2;RYR2;CACNA2D1;CHRNA7;CACNA1D;CACNA1C;NALCN;CACNA1G
GO_Biological_Process_2021	negative regulation of cAMP-mediated signaling (GO:0043951)	3/10	0.00037082698187105087	0.005259982723433062	0	0	28.417027417027416	224.48812163454969	PDE11A;PDE4D;PDE3A
GO_Biological_Process_2021	neuron projection fasciculation (GO:0106030)	3/10	0.00037082698187105087	0.005259982723433062	0	0	28.417027417027416	224.48812163454969	SEMA5A;NRCAM;CNTN4
GO_Biological_Process_2021	axon extension (GO:0048675)	4/24	0.00041602303201919097	0.005788663331238457	0	0	13.297297297297295	103.51640020086478	SEMA5A;NRP2;AUTS2;MAP1B
GO_Biological_Process_2021	neuromuscular junction development (GO:0007528)	4/24	0.00041602303201919097	0.005788663331238457	0	0	13.297297297297295	103.51640020086478	UNC13C;CACNB2;CACNB4;ANK3
